Student_ID,Gender,Branch,Attendance,Assignment_Score,Internal_Marks,Coding_Score,Aptitude_Score,Communication_Score,Internship,CGPA,Placed,Package_LPA
101,Female,CSE,92,85,78,88,82,90,Yes,8.7,Yes,7.5
102,Male,AIML,85,78,72,91,88,76,Yes,8.4,Yes,8.0
103,Female,IT,78,82,75,65,72,85,No,7.6,No,0.0
104,Male,CSE,95,91,88,94,90,87,Yes,9.2,Yes,12.0
105,Female,AIML,88,89,81,82,85,91,Yes,8.6,Yes,9.0
106,Male,IT,72,65,68,58,61,70,No,6.9,No,0.0
107,Female,CSE,90,87,84,79,81,88,Yes,8.5,Yes,7.0
108,Male,AIML,83,75,77,86,84,79,No,8.0,Yes,6.5
109,Female,IT,89,92,86,73,78,93,Yes,8.3,Yes,7.2
110,Male,CSE,76,70,71,62,67,74,No,7.2,No,0.0
111,Female,AIML,94,90,89,96,92,95,Yes,9.4,Yes,14.0
112,Male,IT,81,79,74,69,75,80,Yes,7.8,Yes,5.5
113,Female,CSE,87,84,80,85,86,89,Yes,8.5,Yes,8.5
114,Male,AIML,69,62,65,55,60,68,No,6.7,No,0.0
115,Female,IT,91,88,83,77,80,92,Yes,8.4,Yes,7.8
